store_id,address,city,state,zip_code
174,5260 Grove Road,Pittsburgh,PA ,15236
175,318-320 Cedar Avenue,Pittsburgh,PA ,15212
176,1717 Cochran Road,Pittsburgh,PA ,15220
177,51 Walsh Road,Pittsburgh,PA ,15205
178,1705 South Braddock Avenue,Pittsburgh,PA ,15218
179,9001 Frankstown Road,Pittsburgh,PA ,15235
180,4250 Murray Avenue,Pittsburgh,PA ,15217
181,8080 McIntyre Square Drive,Pittsburgh,PA ,15237
182,1165 McKinney Lane,Pittsburgh,PA ,15220
183,230 Rodi Road,Pittsburgh,PA ,15235
184,6320 Shakespeare Street,Pittsburgh,PA ,15206
185,2021 Wharton Avenue,Pittsburgh,PA ,15203
186,1901 Murray Avenue,Pittsburgh,PA ,15217
187,9805 McKnight Road,Pittsburgh,PA ,15237
188,2611 Freeport Road,Pittsburgh,PA ,15238
189,100 Settlers Ridge Center Drive,Pittsburgh,PA ,15205
190,5550 Centre Avenue,Pittsburgh,PA ,15232
191,910 Freeport Road,Pittsburgh,PA ,15238
192,999 North Eighty Eight Road,Rices Landing,PA ,15357
193,510 S Route 36,Roaring Spring,PA ,16673
194,111 West Madison Street,Rochester,PA ,15074
195,100 Buffalo Plaza,Sarver,PA ,16055
196,206 Seven Fields Blvd,Seven Fields,PA ,16046
197,223 Grove City Rd.,Slippery Rock,PA ,16057
198,1606 North Center Avenue,Somerset,PA ,15501
199,4192 Glades Pike,Somerset,PA ,15501
200,110 S Martin Street,Titusville,PA ,16354
201,581 Pittsburgh Road,Uniontown,PA ,15401
202,200 Allegheny River Boulevard,Verona,PA ,15147
203,331 Washington Road,Washington,PA ,15301
204,100 Sugar Run Road,Waynesburg,PA ,15370
205,9901 Mountainview Drive,West Mifflin,PA ,15122
206,1356 Hoffman Boulevard,West Mifflin,PA ,15122
207,105 Robertson Street,West Newton,PA ,15089
208,1029 West View Park Drive,West View,PA ,15229
209,155 Towne Centre Drive,Wexford,PA ,15090
210,2001 Lincoln Way,White Oak,PA ,15131
211,130 Greenbag Road,Morgantown,WV ,26505
212,208 Giant Street,Morgantown,WV ,26501
213,4927 E 146th Street,Carmel,IN ,46033
214,11505 N Illinois Street,Carmel,IN ,46032
215,6990 Pendleton Pike,Indianapolis,IN ,46226
216,8249 Rockville Road,Indianapolis,IN ,46214
217,3061 E Main Street,Plainfield,IN ,46168
