store_id,address
97,"4230 Pacific Coast Hwy. Torrance, CA 90505"
98,"835 W. Foothill Blvd. Claremont, CA 91711"
99,"Westpark Plaza 3775 Alton Pkwy. Irvine, CA 92606"
100,"14945 Holt Ave. Tustin, CA 92780"
101,"Shops at Rossmoor Shopping Center 12301 Seal Beach Blvd. Seal Beach, CA 90740"
102,"Brea Marketplace Shopping Center 735 E. Birch St. Brea, CA 92821"
103,"Mission Grove Shopping Center 475 E. Alessandro Blvd. Riverside, CA 92508"
104,"Village at Orange 1500 E. Village Way, Suite #2279 Orange, CA 92865"
105,"9861 Adams Ave. Huntington Beach, CA 92646"
106,"Carmel Mountain Ranch Shopping Center 11710 Carmel Mountain Rd. San Diego, CA 92128"
107,"600 W. Hillcrest Dr. Thousand Oaks, CA 91360"
108,"5660 Sepulveda Blvd. Culver City, CA 90230"
109,"111 E. El Camino Real Sunnyvale, CA 94087"
110,"39 N. Rosemead Blvd. Pasadena, CA 91107"
111,"River Oaks 24285 Magic Mountain Pkwy. Valencia, CA 91355"
112,"Stanford Ranch Shopping Center 6760 Stanford Ranch Rd. Roseville, CA 95678"
113,"1012 S. Westlake Blvd. Westlake Village, CA 91361"
114,"7153 Amador Plaza Rd. Dublin, CA 94568"
115,"1515 Hawthorne Blvd. Redondo Beach, CA 90278"
116,"10821 N. Zelzah Ave. Granada Hills, CA 91344"
117,"1327 Encinitas Blvd. Encinitas, CA 92024"
118,"4630 Palm Ave. La Mesa, CA 91941"
119,"4175 Park Blvd. San Diego, CA 92103"
120,"1260 Garnet Ave. San Diego, CA 92109"
121,"Loma Square Shopping Center 3315 Rosecrans St., Suite B San Diego, CA 92110"
122,"13536 Poway Rd. Poway, CA 92064"
123,"Laguna Gateway Shopping Center 8211 Laguna Blvd. Elk Grove, CA 95758"
124,"Solana Beach Town Center 659 Lomas Sante Fe Dr. Solana Beach, CA 92075"
125,"3358 Governor Dr. San Diego, CA 92122"
126,"3205 Lemon Grove Ave. Lemon Grove, CA 91945"
127,"4439 Genesee Ave. San Diego, CA 92117"
128,"2207 W. Florida Ave. Hemet, CA 92545"
129,"1011 N. San Fernando Blvd. Burbank, CA 91504"
130,"Plaza de Paz Shopping Center 27271 La Paz Rd. Laguna Niguel, CA 92677"
131,"17482 Yorba Linda Blvd. Yorba Linda, CA 92886"
132,"Carlsbad Plaza South Shopping Center 2618 El Camino Real Carlsbad, CA 92008"
133,"Costa Mesa Square Shopping Center 3030 Harbor Blvd., Suite D Costa Mesa, CA 92626"
134,"Gateway Village Shopping Center 3630 Grand Ave. Chino Hills, CA 91709"
135,"27765 Santa Margarita Pkwy. Mission Viejo, CA 92691"
136,"120 W. Ontario Ave. Corona, CA 92882"
137,"1447 S. Harbor Blvd. Fullerton, CA 92832"
138,"Winery Estates Shopping Center 7355 Day Creek Blvd. Rancho Cucamonga, CA 91739"
139,"Pavillion Shopping Center 79050 Hwy. 111 La Quinta, CA 92253"
140,"3243 Camino De Los Coches Carlsbad, CA 92009"
141,"32413 Hwy. 79 South Temecula, CA 92592"
142,"15727 Bernardo Heights Pwky. San Diego, CA 92128"
143,"Mission Market Place Shopping Center 471 College Blvd. Oceanside, CA 92057"
144,"Rancho Temecula Shopping Center 39606 Winchester Rd. Temecula, CA 92591"
145,"820 N. Western Ave. San Pedro, CA 90732"
146,"510 W. 13th Ave. Escondido, CA 92025"
147,"9361 Mission Gorge Rd. Santee, CA 92071"
148,"Warner Center 21821 Ventura Blvd. Woodland Hills, CA 91364"
149,"Tustin Marketplace 3011 El Camino Real Tustin, CA 92782"
150,"Huntington Plaza 400 W. Huntington Dr. Monrovia, CA 91016"
151,"225 E. 17th St. Costa Mesa, CA 92627"
152,"1530 Geary Rd. Walnut Creek, CA 94597"
153,"4253 Woodruff Ave. Lakewood, CA 90713"
154,"920 Foothill Blvd. La Canada Flintridge, CA 91011"
155,"22401 Old Canal Rd. Yorba Linda, CA 92887"
156,"7905 Greenback Ln. Citrus Heights, CA 95610"
157,"15801 Whittier Blvd. Whittier, CA 90603"
158,"1700 McHenry Blvd. Modesto, CA 95350"
159,"4408 Del Rio Rd. Sacramento, CA 95822"
160,"3900 Mowry Ave. Fremont, CA 94538"
161,"5205 Prospect Rd. San Jose, CA 95129"
162,"1130 Branham Ln. San Jose, CA 95118"
163,"630 San Antonio Rd. Mountain View, CA 94040"
164,"6607 Fallbrook Ave. West Hills, CA 91307"
165,"7477 N. Blackstone Ave. Fresno, CA 93720"
166,"401 Kenilworth Dr., Suite 1040 Petaluma, CA 94952"
167,"1751 Westwood Blvd. Los Angeles, CA 90024"
168,"301 Gellert Blvd. Daly City, CA 94015"
169,"6942 Warner Ave. Huntington Beach, CA 92647"
170,"Crow Canyon Commons 3181 Crow Canyon Pl. San Ramon, CA 94583"
171,"The Shops on Broadway 3035 Broadway Oakland, CA 94611"
172,"10650 Stockdale Hwy. Bakersfield, CA 93311"
173,"847 W. Foothill Blvd. Upland, CA 91786"
174,"2060 El Camino Real Santa Clara, CA 95050"
175,"1075 Monroe St. Albany, CA 94706"
176,"West Hollywood Gateway 915 N La Brea Ave. Los Angeles, CA 90038"
177,"1431 W. Imperial Hwy. La Habra, CA 90631"
178,"20558 Stevens Creek Blvd. Cupertino, CA 95014"
179,"Shamrock Center 655 Irwin St. San Rafael, CA 94901"
180,"Santa Monica Blvd. & N. W. Knoll Dr 8550 Santa Monica Blvd. West Hollywood, CA 90069"
181,"550 Camino De Estrella San Clemente, CA 92672"
